signal_id,sample_source,time,timeframe,hour,day_of_week,setup_type,direction,entry_price,sl_price,tp_price,risk_pips,atr_14,trend,relative_risk,killzone,fvg_width,relative_fvg_width,near_psychological_level,knn_prob_sig,knn_prob_opp,dist_entry_to_poc,dist_entry_to_nearest_poc,dist_entry_to_pp,dist_entry_to_nearest_pivot,floop_signal,floop_strength,floop_trend,floop_trend_aligned,confidence,accept_threshold,resolved_at,result,pnl_relative,label,rr_ratio,atr_percentile,body_to_range_ratio,dist_to_recent_swing,htf_trend_aligned,confluence_score,order_type,reaction_strength
H1_IC_DUAL_BULL_4113.908_4111.825_2026-07-09_14:00:00_0.618,shadow,2026-07-09 14:00:00,60,14,3,1,1,4111.825064000001,4103.082,4122.734,8.743064000000231,16.3246428571428,1,0.535574595812657,2,0.0,0.0,0,0.6028045750684192,0.3971954249315808,-0.0035176598535970544,0.0035300774653770992,0.008453613493055713,0.005149603644065104,0,12.0,1,1,0.4803001876172607,0.5,2026-07-10 01:00:00,tp,1.247725,1,1.2477245963199541,0.0,0.0,0.0,1,0,0,0.0
M30_IC_DUAL_BULL_4114.868_4113.012_2026-07-09_13:00:00_0.618,shadow,2026-07-09 13:00:00,30,13,3,1,1,4113.011624000001,4105.002,4122.734,8.009624000000258,11.118071428571414,1,0.7204148715412088,0,0.0,0.0,0,0.7990009043694962,0.2009990956305039,0.0014469928306353069,0.0014449020677023713,0.00874462556214952,0.00485962870046402,1,12.0,1,1,0.4803001876172607,0.5,2026-07-10 01:30:00,tp,1.213837,1,1.2138367543844004,0.0,0.0,0.0,1,0,0,0.0
M30_OB_DUAL_BULL_4112.691_4110.895_2026-07-09_13:00:00_0.5,shadow,2026-07-09 13:00:00,30,13,3,1,1,4112.691000000001,4103.082,4127.447,9.609000000000378,11.118071428571414,1,0.8642685974571995,0,0.0,0.0,0,0.7990009043694962,0.2009990956305039,0.0013689264476580041,0.001367055049844867,0.008665990302540979,0.004937967217408865,1,12.0,1,1,0.4803001876172607,0.5,2026-07-09 13:30:00,tp,1.535644,1,1.5356436673950278,0.0,0.0,0.0,1,0,0,0.0
M30_OB_DUAL_BULL_4112.691_4110.895_2026-07-09_13:00:00_0.618,shadow,2026-07-09 13:00:00,30,13,3,1,1,4110.895276,4103.082,4127.447,7.81327599999986,11.118071428571414,1,0.7027546144308056,0,0.0,0.0,1,0.7990009043694962,0.2009990956305039,0.0009316987993671858,0.0009308315447345436,0.008225576537740618,0.005376944886526222,1,12.0,1,1,0.4803001876172607,0.5,2026-07-09 13:30:00,tp,2.11841,1,2.1184102545462644,0.0,0.0,0.0,1,0,0,0.0
H1_OB_DUAL_BULL_4113.908_4111.825_2026-07-09_13:00:00_0.5,shadow,2026-07-09 13:00:00,60,13,3,1,1,4113.908,4103.082,4129.653,10.826000000000022,16.169285714285675,1,0.6695410169192061,0,0.0,0.0,0,0.7425467053997846,0.25745329460021527,-0.0030128696674027473,0.0030219744826572104,0.008964467992743776,0.004640680669896566,0,12.0,1,1,0.431438127090301,0.5,2026-07-10 01:00:00,tp,1.454369,1,1.454369111398472,0.0,0.0,0.0,1,0,0,0.0
H1_OB_DUAL_BULL_4113.908_4111.825_2026-07-09_13:00:00_0.618,shadow,2026-07-09 13:00:00,60,13,3,1,1,4111.825064000001,4103.082,4129.653,8.743064000000231,16.169285714285675,1,0.5407204841631115,0,0.0,0.0,0,0.7425467053997846,0.25745329460021527,-0.0035176598535970544,0.0035300774653770992,0.008453613493055713,0.005149603644065104,0,12.0,1,1,0.431438127090301,0.5,2026-07-10 01:00:00,tp,2.039095,1,2.0390947612872568,0.0,0.0,0.0,1,0,0,0.0
M30_OB_DUAL_BULL_4112.694_4110.900_2026-07-09_13:00:00_0.5,shadow,2026-07-09 13:00:00,30,13,3,1,1,4112.6945,4103.089,4127.447,9.605499999999665,11.115142857142896,1,0.8641814255969645,0,0.0,0.0,0,0.8098087685481009,0.19019123145189923,-0.0032010457253501294,0.0032113253245529983,0.008668827766017111,0.004939057188257821,1,12.0,1,1,0.4381625441696113,0.5,2026-07-10 02:00:00,tp,1.535839,1,1.5358388423300218,0.0,0.0,0.0,1,0,0,0.0
M30_OB_DUAL_BULL_4112.694_4110.900_2026-07-09_13:00:00_0.618,shadow,2026-07-09 13:00:00,30,13,3,1,1,4110.899602,4103.089,4127.447,7.810602000000472,11.115142857142896,1,0.7026992005758311,0,0.0,0.0,1,0.8098087685481009,0.19019123145189923,-0.003636077417937278,0.0036493467251548367,0.008228615719725135,0.005377832949891777,1,12.0,1,1,0.4381625441696113,0.5,2026-07-10 02:00:00,tp,2.118582,1,2.118581640697952,0.0,0.0,0.0,1,0,0,0.0
M30_Swapzone_SINGLE_BEAR_4111.956_2026-07-10_06:30:00,shadow,2026-07-10 06:30:00,30,6,4,1,-1,4111.956,4112.456,4110.956,0.5,9.46828571428575,-1,0.05280786988140841,3,0.0,0.0,0,0.5456357228119861,0.45436427718801375,-0.002856155350610814,0.002864336340174753,0.0016305088745040038,0.0016278546430620886,0,9.0,-1,1,0.3681917211328976,0.5,2026-07-10 07:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
H4_IC_DUAL_BULL_4105.671_4102.808_2026-07-09_12:00:00_0.5,shadow,2026-07-09 12:00:00,240,12,3,1,1,4105.6714999999995,4091.537,4117.806,14.134499999999662,41.31399999999995,-1,0.3421237352955337,0,0.0,0.0,1,0.27996280793940626,0.7200371920605936,-0.005066033090683735,0.005091828462165149,0.006944409245532334,0.00665611784414163,0,11.0,1,1,0.431438127090301,0.5,2026-07-10 04:00:00,tp,0.858502,1,0.8585022462768691,0.0,0.0,0.0,1,0,0,0.0
