timeframe,capital,strategy,max_concurrent,ml_threshold,sizing_config,total_resolved,wins,losses,winrate,final_balance,max_dd_usd,max_dd_pct,blown
M15,50.0,COMBINED,100,0.0,equal,96,41,55,42.70833333333333,0.0,91.46284999999625,108.15786175660934,True
M15,50.0,COMBINED,100,0.5,equal,584,319,265,54.62328767123288,1957.1044260000144,340.8087179999993,65.02978237115343,False
M15,50.0,COMBINED,100,0.7,equal,6,2,4,33.33333333333333,0.0,76.21277399999963,115.67282220181687,True
M15,50.0,COMBINED,100,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,COMBINED,100,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,100.0,FVG,1,0.0,equal,1480,871,609,58.851351351351354,2064.52999600002,420.78460800000084,37.436810305490475,False
M15,100.0,FVG,1,0.5,equal,361,216,145,59.83379501385041,1453.3699040000101,353.7971380000008,64.0583331955279,False
M15,100.0,FVG,1,0.7,equal,9,3,6,33.33333333333333,0.0,296.53820599999835,255.88675643841117,True
M15,100.0,FVG,1,0.8,equal,9,6,3,66.66666666666666,538.7285020000008,98.21435799999927,98.21435799999927,False
M15,100.0,FVG,1,0.85,equal,7,6,1,85.71428571428571,615.0723600000001,55.40949999999975,55.40949999999975,False
M15,100.0,FVG,3,0.0,equal,1582,941,641,59.48166877370418,2387.516090000023,434.70887200000016,27.231079692679472,False
M15,100.0,FVG,3,0.5,equal,370,224,146,60.54054054054055,1646.4957960000092,353.7971380000008,47.15658745562898,False
M15,100.0,FVG,3,0.7,equal,9,3,6,33.33333333333333,0.0,296.53820599999835,255.88675643841117,True
M15,100.0,FVG,3,0.8,equal,9,6,3,66.66666666666666,538.7285020000008,98.21435799999927,98.21435799999927,False
M15,100.0,FVG,3,0.85,equal,7,6,1,85.71428571428571,615.0723600000001,55.40949999999975,55.40949999999975,False
M15,100.0,FVG,5,0.0,equal,1582,941,641,59.48166877370418,2387.516090000023,434.70887200000016,27.231079692679472,False
M15,100.0,FVG,5,0.5,equal,370,224,146,60.54054054054055,1646.4957960000092,353.7971380000008,47.15658745562898,False
M15,100.0,FVG,5,0.7,equal,9,3,6,33.33333333333333,0.0,296.53820599999835,255.88675643841117,True
M15,100.0,FVG,5,0.8,equal,9,6,3,66.66666666666666,538.7285020000008,98.21435799999927,98.21435799999927,False
M15,100.0,FVG,5,0.85,equal,7,6,1,85.71428571428571,615.0723600000001,55.40949999999975,55.40949999999975,False
M15,100.0,FVG,100,0.0,equal,1582,941,641,59.48166877370418,2387.516090000023,434.70887200000016,27.231079692679472,False
M15,100.0,FVG,100,0.5,equal,370,224,146,60.54054054054055,1646.4957960000092,353.7971380000008,47.15658745562898,False
M15,100.0,FVG,100,0.7,equal,9,3,6,33.33333333333333,0.0,296.53820599999835,255.88675643841117,True
M15,100.0,FVG,100,0.8,equal,9,6,3,66.66666666666666,538.7285020000008,98.21435799999927,98.21435799999927,False
M15,100.0,FVG,100,0.85,equal,7,6,1,85.71428571428571,615.0723600000001,55.40949999999975,55.40949999999975,False
M15,100.0,OB,1,0.0,equal,27,5,22,18.51851851851852,0.0,102.1458479999983,102.14584799999828,True
M15,100.0,OB,1,0.5,equal,7,1,6,14.285714285714285,115.43813200000204,22.20687799999905,20.268489999999474,False
M15,100.0,OB,1,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,1,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,1,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,3,0.0,equal,150,50,100,33.33333333333333,0.0,155.60890199999903,103.25944613607376,True
M15,100.0,OB,3,0.5,equal,7,1,6,14.285714285714285,115.43813200000204,22.20687799999905,20.268489999999474,False
M15,100.0,OB,3,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,3,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,3,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,5,0.0,equal,150,50,100,33.33333333333333,0.0,155.60890199999903,103.25944613607376,True
M15,100.0,OB,5,0.5,equal,7,1,6,14.285714285714285,115.43813200000204,22.20687799999905,20.268489999999474,False
M15,100.0,OB,5,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,5,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,5,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,100,0.0,equal,150,50,100,33.33333333333333,0.0,155.60890199999903,103.25944613607376,True
